,name,country
0,Jelander,Afghanistan
1,Christop,Australia
2,Fabijano,Belgium
3,Mourão,Brazil
4,Kerigan,Canada
5,Vendelín,Czech
6,Ville-Veikko,Finland
7,Kotsos,Greece
8,Néci,Hungary
9,Jivavijaya,India
10,Keyghobad,Iran
11,Airiz,Ireland
12,Tsahi,Israel
13,﻿Francesco,Italy
14,Verners,Latvia
15,Karstein,Norway
16,Albercik,Poland
17,Lascăr,Romania
18,Matevž,Slovenia
19,Waabberi,Somalia
20,Juan Luis,Spain
21,Vide,Sweden
22,Harrit,The Netherlands
23,Yardan ,Turkey
24,Theoden,UK
25,Eldridge,USA
26,Budivid,Ukraine
